,Title,Published,Channel,Description,Tags,Captions,Duration,Default Language
0,"Sunday Scrum | TrumpвАЩs new tariff threat, another MP crosses the aisle",2026-02-22T18:36:54Z,CBC News,"Chief political correspondent Rosemary Barton speaks with this week's Sunday Scrum, featuring Globe and Mail reporter Ian Bailey, Economist writer and former CBC parliamentary bureau chief Rob Russo and CHEK News correspondent Rob Shaw, about the U.S. Supreme Court's decision to knock down some of President Donald TrumpвАЩs tariffs, as well as MP Matt Jeneroux joining the Liberal caucus.

Chapters:
00:00 Sunday Scrum
01:29 Trump's tariff threat
07:40 MP Jeneroux crosses the aisle

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Canada', 'Sunday Scrum', 'Rosemary Barton', 'U.S.', 'United States', 'Donald Trump', 'trade war', 'CUSMA', 'tariffs', 'floor-crossing']",false,0 days 00:12:03,en
1,Trump now says he's raising global tariff rate to 15%,2026-02-21T22:08:22Z,CBC News,"After imposing a global tariff of 10 per cent following a stinging loss at the U.S. Supreme Court, President Donald Trump now says he's raising that rate an additional five per cent вАФ though exemptions for CUSMA-compliant goods from Canada and Mexico still apply.


¬ї¬ї¬ї Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news']",false,0 days 00:00:46,en
2,Trump says he's raising new global tariff rate to 15% following Supreme Court loss,2026-02-21T21:20:51Z,CBC News,"U.S. President Donald Trump said on social media he is raising the global tariff from 10 per cent to 15 per cent, though these temporary tariffs can only be imposed for 150 days unless Congress approves an extension. The move follows an executive order he signed Friday imposing a 10 per cent tariff on imports from all countries after the U.S. Supreme Court struck down tariffs he introduced last year.

¬ї¬ї¬ї Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Trump', 'tariffs', 'trade war', 'United States', 'Canada', 'U.S.', 'Supreme Court', 'SCOTUS', 'The White House', 'Donald Trump', 'Trump administration', 'CUSMA']",false,0 days 00:02:25,en
3,Transport Canada certifies Gulfstream jets amid Trump aviation tariff threat,2026-02-21T17:42:56Z,CBC News,"Transport Canada has certified the American-made Gulfstream G500 and G600 business jets, according to a document posted on the federal governmentвАЩs website. These jets were at the centre of U.S. President Donald TrumpвАЩs aviation dispute last month, accusing Canada of 'illegally' refusing to certify several Gulfstream models. Trump threatened to impose a 50 per cent tariff on Canadian aircraft, including Bombardier jets, and said his administration would 'decertify' them. He has not followed through on his threat.

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news', 'Trump', 'tariffs', 'trade war', 'United States', 'Canada', 'U.S.', 'The White House', 'Donald Trump', 'Trump administration', 'Gulfstream', 'Transport Canada', 'Bombardier']",false,0 days 00:02:06,en
4,What do TrumpвАЩs new 10% tariffs mean for Canada?,2026-02-21T02:38:53Z,CBC News,"U.S. President Donald Trump imposed a new 10 per cent global tariff on Friday, though Canadian exports to the U.S. that comply with the CUSMA trade deal will be exempt.

¬ї¬ї¬ї Subscribe to CBC News to watch more videos: http://bit.ly/1RreYWS

For breaking news, video, audio and in-depth coverage: https://www.cbc.ca/news
Follow CBC News on TikTok: https://www.tiktok.com/@cbcnews
Subscribe to CBC News on Snapchat: https://bit.ly/3leaWsr
Subscribe to CBC News on WhatsApp: https://www.whatsapp.com/channel/0029Vb6MSjH9Bb63S9tbQa1Y

Download the CBC News app for iOS: http://apple.co/25mpsUz
Download the CBC News app for Android: http://bit.ly/1XxuozZ

¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї¬ї
For more than 80 years, CBC News has been the source Canadians turn to, to keep them informed about their communities, their country and their world. Through regional and national programming on multiple platforms, including CBC Television, CBC News Network, CBC Radio, CBCNews.ca, mobile and on-demand, CBC News and its internationally recognized team of award-winning journalists deliver the breaking stories, the issues, the analyses and the personalities that matter to Canadians.","['CBC News', 'CBC', 'News', 'breaking news']",false,0 days 00:01:30,en
5,Mar-a-lago shooting update: Trump not at Palm Beach residence at time of Secret Service shooting,2026-02-22T17:29:19Z,USA TODAY,"U.S. Secret Service agents and local police shot and killed an armed man who allegedly breached a secure perimeter at Mar-a-Lago and raised a gun at law enforcement officials in the early hours of Sunday, Feb. 22.

A security detail detected the man near the north gate of President Donald Trump's Mar-a-Lago resort in Palm Beach, Florida, at about 1:30 a.m. local time. Authorities said he was carrying a shotgun and a fuel can. The president was in Washington during the incident and not at his property in Palm Beach, Florida.

Read more: https://www.usatoday.com/story/news/politics/2026/02/22/man-shot-killed-mar-a-lago/88811000007/

Sign up for our newsletter for the day's top stories, from sports to movies to politics to world events: https://profile.usatoday.com/newsletters/daily-briefing/","['usa today', 'usa today news']",false,0 days 00:05:03,en-US
6,Trump moves to raise global tariffs after Supreme Court ruling,2026-02-21T18:14:50Z,USA TODAY,President Donald Trump says he will raise global tariffs to 15% shortly after implementing a reworked 10% levy amid a landmark SCOTUS decision against the tariffs.,No Tags,false,0 days 00:00:42,en
7,WhatвАЩs next after SCOTUS overturned President Trump's tariffs,2026-02-20T22:23:58Z,USA TODAY,The big question after the Supreme Court's decision on tariffs is refunds. Companies have filed thousands of lawsuits asking to have their money returned.,No Tags,false,0 days 00:01:10,en
8,President lashes out at Supreme Court justices after ruling,2026-02-20T22:06:39Z,USA TODAY,President Trump said some Supreme Court justices are 'barely' invited to the State of the Union address after the tariff ruling.,No Tags,false,0 days 00:00:34,en
9,NYSE after Supreme Court rules against President Trump's tariffs,2026-02-20T21:12:59Z,USA TODAY,"The Supreme Court dealt a major blow to President Donald Trump's economic agenda, ruling that he does not have the authority to impose sweeping tariffs at the stroke of a pen.

The court on Feb. 20 tossed the tariffs that are the centerpiece of his economic policy and a major foreign policy tool вАУ but that have also raised costs for consumers and businesses. It is the first major ruling against Trump's controversial expansive view of presidential power.","['usa today', 'usa today news']",false,0 days 05:08:41,en-US
10,Trump denounces Supreme Court justices after tariff decision,2026-02-20T20:20:31Z,Washington Post,"President Donald Trump on Feb. 20 denounced Supreme Court justices who ruled against him as a вАЬdisgraceвАЭ and announced wide-ranging new tariffs hours after the high court struck down most of his existing import taxes. In a 6-3 decision, the justices had ruled the president did not have the authority under a 1977 emergency economic powers law to impose import levies on goods from nearly all of the nationвАЩs trading partners. 

In response, Trump used a different law to impose a 10 percent across-the-board tariff. Read more: https://wapo.st/4b1GSfC. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqK
Follow us:
X: https://x.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/
Threads: https://www.threads.com/@washingtonpost
Bluesky: https://bsky.app/profile/washingtonpost.com","['News', 'The Washington Post', 'WaPo Video', 'Washington Post Video', 'Washington Post YouTube', 'a:national', 'donald trump', 'donald trump tariff news', 'import taxes', 's:National', 'scotus tariff ruling', 'supreme court', 'supreme court ruling', 'supreme court tariff ruling', 't:Vertical', 'tariff penalties', 'tariffs', 'trump', 'trump scotus']",true,0 days 00:01:36,en
11,LIVE: Trump reacts to Supreme CourtвАЩs tariff decision,2026-02-20T19:14:22Z,Washington Post,"President Donald Trump speaks from the White House on Feb. 20, after the Supreme Court rejected most of his tariffs, dealing him a stinging political setback.",No Tags,false,0 days 01:29:25,en
12,"New York leaders rehang Stonewall Pride flag, defying Trump administration",2026-02-13T15:28:59Z,Washington Post,"New York City leaders rehung the Pride flag in front of the Stonewall National Monument on Feb. 12, a rebuke of the Trump administrationвАЩs efforts to take down the symbol of the LGBTQ+ rights movement from federal property.

The Trump administration had previously removed the Pride flag and replaced it with the American flag, outraging many New Yorkers. The National Park Service said the Pride flag was taken down to comply with an Interior Department order limiting what types of flags and logos can be displayed on federal property.",No Tags,false,0 days 00:00:26,en
13,Trump goes after Democrats at National Prayer Breakfast,2026-02-05T21:00:06Z,Washington Post,"At a gathering intended to let U.S. lawmakers gather to pray for the country together on Feb. 5, President Donald Trump took several partisan digs at Democrats, including questioning вАЬhow a person of faith can vote for a Democrat.вАЭ Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqK
Follow us:
X: https://x.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/
Threads: https://www.threads.com/@washingtonpost
Bluesky: https://bsky.app/profile/washingtonpost.com","['News', 'The Washington Post', 'WaPo Video', 'Washington Post Video', 'Washington Post YouTube', 'a:politics', 'breakfast', 'democrats', 'dems', 'national cathedral', 's:Politics', 't:Vertical', 'trump']",true,0 days 00:01:44,en
14,Trump officials keep backtracking on immigration goals,2026-02-03T18:16:27Z,Washington Post,"The Trump administration in recent weeks has shifted its immigration enforcement rhetoric and tactics following the deaths of two U.S. citizens in Minnesota. #ice #dhs #immigration #borderpatrol #donaldtrump #kristinoem #tomhoman #stephenmiller #jdvance #whitehouse #politics #minnesota #minneapolis #deport #arrest Read more: https://wapo.st/3MaSsLR. Subscribe to The Washington Post on YouTube: https://wapo.st/2QOdcqK
Follow us:
X: https://x.com/washingtonpost
Instagram: https://www.instagram.com/washingtonpost/
Facebook: https://www.facebook.com/washingtonpost/
Threads: https://www.threads.com/@washingtonpost
Bluesky: https://bsky.app/profile/washingtonpost.com","['News', 'The Washington Post', 'WaPo Video', 'Washington Post Video', 'Washington Post YouTube', 'a:politics', 'arrest', 'asylum', 'border', 'border patrol', 'cbp', 'citizen', 'deport', 'detain', 'dhs', 'donald trump', 'homeland security', 'ice', 'immigrant', 'immigration', 'immunity', 'jd vance', 'kristi noem', 'migrant', 'minneapolis', 'minnesota', 'non-criminal', 'politics', 'quota', 's:Politics', 'stephen miller', 't:Vertical', 'tom homan', 'trump administration', 'white house']",true,0 days 00:01:16,en
15,Special Report: Armed man shot and killed at Mar-a-Lago,2026-02-22T15:48:30Z,NBC News,Secret Service and a Palm Beach County Sheriff's Office deputy shot and killed a man after he entered the secured perimeter of President Donald TrumpвАЩs Mar-a-Lago estate. Authorities said that the man was holding a shotgun and a gas can when he was confronted.¬†,['NBC News NOW'],true,0 days 00:21:19,en
16,Top Story with Tom Llamas - Feb. 20  | NBC News NOW,2026-02-21T02:10:45Z,NBC News,"President Trump clashes with the Supreme Court after it ruled against him on tariffs, millions of Americans are bracing for a dangerous winter storm and investigators are examining new security camera videos from the neighbors of Nancy Guthrie in her case.¬†

For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com

¬ї Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
¬ї Subscribe to Here's the Scoop podcast: https://www.nbcnews.com/heres-the-scoop-daily-podcast

Every day, NBC News helps people understand whatвАЩs happening and why it matters вАФ through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts вАФ TODAY, NBC Nightly News, Meet the Press, and Dateline вАФ to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#news #politics #supremecourt",['NBC News NOW'],true,0 days 00:37:05,en
17,Hallie Jackson NOW - Feb. 20 | NBC News NOW,2026-02-21T02:05:59Z,NBC News,"President Trump responds after Supreme Court strikes down most of his tariffs, strong weather system could bring heavy snow and high winds to the East Coast and British police expect to continue to search former Prince Andrew's home.

For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com

¬ї Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
¬ї Subscribe to Here's the Scoop podcast: https://www.nbcnews.com/heres-the-scoop-daily-podcast

Every day, NBC News helps people understand whatвАЩs happening and why it matters вАФ through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts вАФ TODAY, NBC Nightly News, Meet the Press, and Dateline вАФ to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#BreakingNews #CurrentEvents #news","['NBC News NOW', 'Hallie Jackson NOW']",true,0 days 01:39:37,en
18,Trump orders release of government information on aliens and UFOs,2026-02-21T00:57:50Z,NBC News,"After former President Obama lit up the internet speculating that aliens probably exist, tonight, President Trump says heвАЩs ordering the release of all government information on aliens and UFOs. NBC NewsвАЩ Tom Costello has the latest.¬†

For more context and news coverage of the most important stories of our day, click here: https://www.nbcnews.com

¬ї Subscribe to NBC News: http://nbcnews.to/SubscribeToNBC
¬ї Subscribe to Here's the Scoop podcast: https://www.nbcnews.com/heres-the-scoop-daily-podcast

Every day, NBC News helps people understand whatвАЩs happening and why it matters вАФ through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts вАФ TODAY, NBC Nightly News, Meet the Press, and Dateline вАФ to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world.

Connect with NBC News Online!
NBC News App: https://apps.nbcnews.com/mobile
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.Com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC

#Trump #UFO #Aliens","['Health', 'International News', 'Making A Difference', 'NBC Nightly News', 'National News', 'News', 'Nightly News', 'Tom Llamas', 'U.S. News', 'breaking news', 'evening news', 'politics', 'world news']",true,0 days 00:01:53,en
